id,sex,age,city,country,friend_count,followers_count,pages,groups,posts_last_year,posts_likes,photos_last_year,photo_likes
789335479,1,24,151,1,0,2,1,1,0,0,0,0
789326016,1,23,151,1,0,0,0,0,0,0,0,0
789320806,1,24,151,1,6,1,21,33,0,0,0,0
789311846,1,23,151,1,36,0,0,4,3,20,12,56
789290081,1,21,151,1,110,55,0,4,2,28,1,26
789289880,1,24,151,1,4,5,2,3,10,10,7,3
560904620,1,23,135,1,69,32,40,48,0,0,0,0
81695495,1,23,135,1,8,41,0,6,0,0,0,0
368994561,1,20,135,1,91,219,104,196,3,96,5,108
120205501,1,20,135,1,88,128,30,43,2,71,2,13
145229609,1,24,135,1,323,847,71,124,3,125,5,224
562145152,1,18,135,1,3,5,18,24,0,0,0,0
239091031,1,23,135,1,2,4,68,136,0,0,0,0
344213095,1,24,135,1,10,1458,16,32,0,0,0,0
227595100,1,23,135,1,65,51,46,84,0,0,0,0
457357517,1,19,135,1,113,3,60,100,0,0,0,0
510698218,1,24,135,1,826,563,63,95,2,0,0,0
244627699,1,19,135,1,21,5,2,2,0,0,0,0
582750896,1,23,135,1,1,1,7,7,0,0,0,0
80921914,1,22,264,1,111,146,89,99,4,208,4,202
488472414,1,20,264,1,162,42,46,107,0,0,0,0
97501696,1,19,264,1,114,103,52,58,2,74,5,304
174590908,1,23,264,1,24,221,36,118,0,0,0,0
317920079,1,22,264,1,136,135,66,73,2,53,6,200
257721427,1,22,264,1,92,282,16,16,5,278,13,488
172543541,1,22,264,1,50,858,11,69,0,0,0,0
139456539,1,24,264,1,13,223,10,20,0,0,0,0
181921578,1,18,264,1,38,26,67,146,3,21,2,22
477928911,1,19,264,1,18,2,9,14,0,0,0,0
467941821,1,19,264,1,2,25,5,5,0,0,0,0
530009176,1,23,264,1,1,0,0,0,0,0,0,0
803650779,1,22,264,1,0,0,0,0,0,0,0,0
802028668,1,20,264,1,3,1,8,11,0,0,3,3
801803264,1,22,264,1,4,0,0,0,2,4,2,3
800964336,1,22,264,1,0,0,0,0,0,0,0,0
799750537,1,21,264,1,0,2,0,0,1,0,1,0
799656695,1,21,264,1,1,0,0,0,0,0,1,1
798485211,1,20,264,1,0,1,0,0,0,0,0,0
796957907,1,24,264,1,1,1,0,0,1,0,1,0
796849630,1,23,264,1,35,37,74,90,11,7,18,151
796279214,1,20,264,1,14,0,2,2,11,53,15,55
794748536,1,22,264,1,2,0,0,0,0,0,0,0
794489971,1,22,264,1,7,2,4,6,0,0,0,0
793429291,1,22,264,1,1,3,0,0,2,2,2,2
792882054,1,24,264,1,0,4,0,0,0,0,0,0
792641220,1,21,264,1,13,0,1,1,0,0,0,0
792364904,1,20,264,1,3,0,0,1,11,1,11,1
791601414,1,21,264,1,43,0,5,10,13,38,9,19
791592586,1,20,264,1,0,0,0,0,1,0,1,0
791525168,1,22,264,1,5,4,1,2,1,1,1,1
791394529,1,24,264,1,2,2,0,0,0,0,0,0
791175081,1,19,264,1,31,5,18,28,30,11,16,11
790717403,1,23,264,1,8,4,0,3,4,5,4,7
789010840,1,23,264,1,816,7,2,5,17,341,17,295
788412114,1,22,264,1,3,2,4,4,2,3,2,2
788301720,1,24,264,1,2,0,23,38,0,0,0,0
786065298,1,23,264,1,0,0,1,2,0,0,0,0
785949861,1,22,264,1,0,1,0,0,0,0,0,0
785797051,1,18,264,1,0,0,0,0,0,0,0,0
785419183,1,23,264,1,0,1,0,0,0,0,0,0
785401532,1,22,264,1,0,1,0,0,0,0,0,0
785374268,1,21,264,1,1622,42,18,45,21,52,24,53
785283648,1,22,264,1,0,2,4,6,0,0,0,0
784852457,1,23,264,1,12,0,2,3,29,33,49,9
784394737,1,23,264,1,0,0,0,0,0,0,0,0
784072894,1,23,264,1,24,0,5,8,3,5,4,8
781785137,1,18,264,1,17,1,6,7,1,1,2,0
781351363,1,22,264,1,3,5,0,0,1,1,2,1
780856237,1,24,264,1,2,1,3,6,3,0,7,0
780426318,1,18,264,1,38,0,56,74,1,27,1,26
779964853,1,24,264,1,0,1,0,0,0,0,0,0
779214157,1,23,264,1,30,7,0,9,17,3,11,5
778793320,1,22,264,1,71,2,67,78,6,78,13,86
777665520,1,23,264,1,113,22,2,3,10,49,16,51
777482917,1,20,264,1,0,1,2,2,1,0,1,0
777340442,1,23,264,1,2,0,7,8,1,0,0,0
777149939,1,20,264,1,0,0,1,1,0,0,1,0
775996956,1,23,264,1,12,1,1,6,11,59,38,58
775952090,1,20,264,1,5,1,26,34,8,2,8,2
775505298,1,18,264,1,0,1,0,0,0,0,0,0
775109541,1,20,264,1,0,1,0,0,0,0,0,0
774971024,1,18,264,1,7,0,0,0,1,1,1,0
774773214,1,23,264,1,0,0,0,0,0,0,0,0
774444985,1,21,264,1,5,3,29,37,6,3,2,2
774147850,1,23,264,1,0,17,1,1,6,93,6,93
773808295,1,23,264,1,1,0,0,0,0,0,0,0
773675288,1,18,264,1,23,2,8,12,2,2,3,2
