id,sex,age,city,country,friend_count,followers_count,pages,groups,posts_last_year,posts_likes,photos_last_year,photo_likes
804344960,1,47,151,1,0,2,0,0,0,0,0,0
804251890,1,51,151,1,0,1,0,0,0,0,0,0
804233273,1,44,151,1,1,1,0,0,0,0,0,0
804158387,1,40,151,1,1,0,0,0,0,0,0,0
804136780,1,45,151,1,0,2,0,0,0,0,0,0
804116219,1,45,151,1,1,2,1,1,6,6,11,8
804026835,1,46,151,1,0,0,2,3,0,0,0,0
804009399,1,52,151,1,2,0,5,10,1,6,1,6
803961802,1,46,151,1,0,3,0,0,0,0,0,0
803921996,1,46,151,1,1,2,2,2,1,2,1,2
803919528,1,40,151,1,0,1,0,0,0,0,0,0
803869094,1,46,151,1,1,1,0,0,1,0,1,0
803807988,1,40,151,1,0,0,1,1,0,0,0,0
803776730,1,45,151,1,0,1,0,0,0,0,0,0
803732942,1,47,151,1,2,0,0,0,1,6,1,6
803693971,1,45,151,1,0,0,1,1,0,0,0,0
803691387,1,52,151,1,3,8,0,0,1,15,1,15
803689606,1,49,151,1,6,1,1,1,0,0,0,0
803606429,1,47,151,1,0,3,0,0,0,0,1,2
803520892,1,54,151,1,0,3,0,0,0,0,0,0
803508138,1,43,151,1,1,0,2,2,0,0,0,0
803479409,1,44,151,1,0,1,0,1,0,0,0,0
803411415,1,53,151,1,0,2,0,0,0,0,0,0
803390533,1,40,151,1,0,1,0,0,0,0,0,0
803379546,1,52,151,1,0,1,0,0,0,0,0,0
803303724,1,40,151,1,3,1,0,1,0,0,0,0
803286748,1,46,151,1,0,3,0,0,0,0,0,0
803253567,1,53,151,1,1,1,0,0,0,0,0,0
803215953,1,46,151,1,0,0,1,1,0,0,0,0
803188787,1,45,151,1,0,1,0,0,0,0,0,0
803186152,1,52,151,1,0,1,0,0,0,0,0,0
803156791,1,40,151,1,2,1,0,1,4,10,11,28
803043743,1,44,151,1,1,1,0,0,0,0,0,0
802922335,1,40,151,1,2,8,3,9,1,9,1,9
802852456,1,51,151,1,0,0,0,0,3,2,4,4
802826882,1,46,151,1,134,19,0,1,10,81,20,132
802799436,1,48,151,1,0,2,1,1,1,2,1,2
802780334,1,54,151,1,10,5,1,1,1,13,1,13
802770332,1,48,151,1,0,0,20,26,0,0,0,0
802700572,1,49,151,1,0,2,0,0,0,0,0,0
802658911,1,46,151,1,0,0,1,1,0,0,0,0
802601483,1,44,151,1,8,0,0,0,0,0,0,0
802485040,1,50,151,1,0,2,0,0,0,0,0,0
802476981,1,53,151,1,6,3,0,0,0,0,0,0
802429810,1,40,151,1,0,0,3,4,0,0,0,0
802376339,1,47,151,1,0,4,0,0,0,0,0,0
802296245,1,47,151,1,1,0,0,0,0,0,0,0
