id,sex,age,city,country,friend_count,followers_count,pages,groups,posts_last_year,posts_likes,photos_last_year,photo_likes
299699512,1,23,60,1,573,205,6,12,4,8,0,0
70127340,1,22,60,1,25,132,4,5,1,18,1,18
162890558,1,22,60,1,286,205,11,22,8,494,18,617
212385962,1,22,60,1,280,110,79,115,4,149,3,147
67056143,1,22,60,1,197,253,50,69,1,46,1,46
507242627,1,22,60,1,156,164,38,73,0,0,0,0
594747147,1,22,60,1,12,44,5,6,0,0,0,0
195827528,1,22,60,1,56,97,11,14,0,0,0,0
341163345,1,23,60,1,16,82,32,34,0,0,0,0
749389371,1,21,60,1,4,0,8,8,1,0,2,3
564171065,1,22,60,1,15,9,23,26,1,0,0,0
449693774,1,19,60,1,112,18,8,15,1,40,1,40
627097534,1,23,60,1,42,7,0,8,0,0,0,0
501960252,1,18,60,1,1,23,1,2,0,0,0,0
646981744,1,24,60,1,10,6,14,21,0,0,0,0
602864042,1,23,60,1,18,6,2,4,0,0,0,0
690191445,1,23,60,1,1,1,0,0,0,0,0,0
595528526,1,23,60,1,9,1,4,4,0,0,0,0
182817678,1,18,60,1,4,3,6,12,0,0,0,0
249904461,1,23,60,1,4,2,5,11,0,0,0,0
634992948,1,21,60,1,1,0,0,0,0,0,0,0
194298676,1,24,60,1,3,1,0,1,0,0,0,0
116319289,1,24,60,1,190,396,66,95,7,1,10,47
798116099,1,24,60,1,2,0,0,0,3,0,3,0
797422923,1,21,60,1,1,0,0,0,0,0,0,0
797377111,1,20,60,1,13,0,24,34,2,2,3,3
797369150,1,22,60,1,5,0,16,19,1,1,1,1
796734302,1,22,60,1,6,7,10,11,2,20,3,30
796666980,1,23,60,1,173,7,32,65,3,3,1,5
796400615,1,23,60,1,0,1,0,0,1,0,1,0
101166539,1,21,60,1,158,256,42,87,0,0,0,0
803947883,1,19,60,1,0,1,4,4,2,0,2,0
803807129,1,20,60,1,2,1,0,1,1,1,4,1
803777445,1,22,60,1,4,0,1,2,6,0,2,0
803770865,1,21,60,1,2,13,2,2,1,0,2,0
803754855,1,18,60,1,14,1,0,0,1,12,1,12
803628728,1,19,60,1,0,0,0,0,1,0,1,0
803620030,1,21,60,1,0,0,0,0,4,0,13,0
803583595,1,20,60,1,0,0,31,39,0,0,0,0
803543605,1,23,60,1,0,3,1,2,2,0,1,0
803541352,1,22,60,1,1,1,3,3,2,2,1,1
803490660,1,18,60,1,0,0,1,1,0,0,0,0
803485625,1,19,60,1,1,0,0,0,1,1,1,1
803402613,1,21,60,1,1,2,4,4,1,3,1,3
803365823,1,22,60,1,0,0,8,9,2,0,1,0
803273439,1,22,60,1,1,0,2,2,0,0,0,0
803259763,1,18,60,1,6,0,25,25,0,0,1,2
803258562,1,22,60,1,10,0,11,14,0,0,1,5
803258349,1,21,60,1,7,0,37,37,0,0,4,2
803257341,1,21,60,1,9,0,7,7,1,6,1,6
803236260,1,24,60,1,0,0,0,0,3,1,3,0
803211413,1,20,60,1,5,0,3,3,1,1,1,1
803199625,1,23,60,1,2,0,2,2,1,0,1,0
803150398,1,24,60,1,0,4,41,96,8,2,1,1
803057933,1,23,60,1,1,0,20,21,4,0,7,1
802948667,1,23,60,1,0,0,1,1,1,1,1,1
802892282,1,23,60,1,0,1,0,0,0,0,1,0
802867109,1,20,60,1,1,0,0,0,1,1,1,1
802834888,1,23,60,1,0,1,1,1,1,1,1,1
802794783,1,20,60,1,0,0,1,1,1,0,1,0
802784175,1,22,60,1,0,1,37,66,2,0,2,1
802733420,1,22,60,1,1,2,0,1,0,0,0,0
802720616,1,20,60,1,0,0,1,2,0,0,0,0
802637680,1,24,60,1,15,7,9,10,2,5,2,7
802599035,1,23,60,1,0,1,0,0,0,0,0,0
